ID,DESC,PROGRAM_NAME,DONOR_DESC,DONOR_NAME
151422,"Award given to college students or high school students pursuing a research project in the field of science. Applicants must have two letter of recommendation, one-page description of project, a budget or plan, and proof of student enrollment with dates.",Youth Activity Fund,A 3000-member nonprofit organization that encourages exploration.,Explorers Club
151425,"Grants for students who attend Illinois colleges for which the special collegiate license plates are available. The Illinois Secretary of State issues the license plates, and part of the proceeds are used for grants for undergraduate students attending these colleges, to pay tuition and mandatory fees.",Higher Education License Plate Program-HELP,A state agency that administers financial aid programs sponsored by the state of Illinois. Mission is making college accessible and affordable for all Illinois students.,Illinois Student Assistance Commission (ISAC)
151426,"Awards to Illinois residents enrolled in a minimum of 3 hours per term in a degree program at an approved Illinois institution. See web site for complete list of participating schools. Must demonstrate financial need, based on the information provided on the Free Application for Federal Student Aid. Number of grants and the individual dollar amount awarded vary. Deadline: As soon as possible after October 1 of the year before the student will enter college.",Illinois Monetary Award Program,A state agency that administers financial aid programs sponsored by the state of Illinois. Mission is making college accessible and affordable for all Illinois students.,Illinois Student Assistance Commission (ISAC)
151427,"Active duty members of the Illinois National Guard, or who are within 12 months of discharge, and who have completed one full year of service are eligible. May be used for study at Illinois two- or four-year public colleges for a maximum of the equivalent of four academic years of full-time enrollment. Deadlines: October 1 of the academic year for full year, March 1 for second/third term, or June 15 for the summer term.",Illinois National Guard Grant Program,A state agency that administers financial aid programs sponsored by the state of Illinois. Mission is making college accessible and affordable for all Illinois students.,Illinois Student Assistance Commission (ISAC)
151429,Award for minority students intending to become school teachers; teaching commitment attached to receipt. Number of scholarships and the individual dollar amounts vary.,Minority Teachers of Illinois Scholarship Program,A state agency that administers financial aid programs sponsored by the state of Illinois. Mission is making college accessible and affordable for all Illinois students.,Illinois Student Assistance Commission (ISAC)
151431,"Renewable scholarship for American Indian/Alaska Native students who are enrolled part-time or full-time in courses leading to a bachelor degree in the areas of pre-medicine, pre-dentistry, pre-optometry, or pre-podiatry. Minimum 2.0 GPA required to apply. Must intend to serve AI/AN people upon completion of professional healthcare education.",Indian Health Service Health Professions Pre-graduate Scholarships,"The organization's mission is to raise the physical, mental, social, and spiritual health of the American Indian and Alaska Native populations to their highest level.","Indian Health Services, United States Department of Health and Human Services"
151432,"$3000 scholarship available to undergraduate students enrolled in an industrial engineering program in any school in the United States and its territories, Canada, and Mexico, provided the school's engineering program or equivalent is accredited by an agency recognized by IIE. Must be an IIE member. Minimum 3.4 GPA required. Must be nominated by department head.",Dwight D. Gardner Scholarship,"A professional society dedicated solely to the support of the industrial engineering profession and individuals involved with improving quality and productivity. IIE is an international, nonprofit association.",Institute of Industrial Engineers
151433,"The scholarship fund is an exchange program for print journalists of the Americas. U.S. and Canadians study in Latin America, and Latin Americans study in the United States or Canada. Fluency in Spanish or Portuguese for the former, and in English or French for the latter is mandatory. Applicants must be natives of the Western Hemisphere. Applicants must have completed their college degrees before the beginning of the scholarship year; internships and reporting experience is a plus.",Inter American Press Association Scholarships,An exchange program aimed at promoting understanding among the Americas and enhancing the quality of the print media in the Western Hemisphere.,"Inter American Press Association Scholarship Fund, Inc."
151445,"Awards for applied research in the fields of laser technology, optoelectronics, precision measurement, surface science and semiconductors, information and image processing, materials and process science, as well as basic research in atomic, molecular, and optical physics, gravitational physics, chemical physics, astrophysics, and geophysical measurements. All Research Associates are appointed by and work at the University of Colorado at Boulder, JILA's location. For additional information and application, go to web site http://jilawww.colorado.edu.",Postdoctoral Research Associateships,Interdisciplinary institute for research and graduate education in the physical sciences.,JILA
151450,"Translations must be of book-length Japanese literary works: novels, collections of short stories, manga, literary essays, memoirs, drama, or poetry. Submissions may be unpublished manuscripts, works in press, or books published during the two years prior to the prize year (for the 2016-2017 prize, this means publication dates in 2014 and afterward). Translators must be citizens or permanent residents of the United States. Prior recipients of the award are eligible to submit new translations.",Japan-U.S. Friendship Commission Prize for the Translation of Japanese Literature,"The center is dedicated to advancing the understanding of Japan and its culture in the United States through university instruction, research, and public education.",Donald Keene Center of Japanese Culture
151452,"Scholarship for Colorado residents of Hispanic heritage. Applicant should be accepted in an accredited college, university or vocational school. Must maintain a minimum GPA of 3.0.",Latin American Educational Foundation Scholarships,Improves access to post secondary education for Hispanic students and those involved in the Hispanic community through scholarships and support programs.,Latin American Educational Foundation
151453,"Award: $60,000 per year for three years Requirements: You must be a promising investigator with less than two years of postdoctoral research training. This award encourages you to embark on an academic career involving clinical or fundamental research in hematologic malignancies under a research sponsor's direction.",Career Development Program-Fellow Awards,"The organization is a national voluntary health agency dedicated to the conquest of leukemia, lymphoma, and myeloma through research.",Leukemia & Lymphoma Society
151454,"Award: $67,000 per year for two or three years Requirements: You must be a qualified investigator who's completed a minimum of two years of postdoctoral research training and is continuing your research under the research sponsor's direction. This award is meant to permit you to begin to transition to an independent research program. New last year: The eligibility has been extended to a maximum of 4.5 years of postdoctoral experience.",Career Development Program-Special Fellow Awards,"The organization is a national voluntary health agency dedicated to the conquest of leukemia, lymphoma, and myeloma through research.",Leukemia & Lymphoma Society
151456,"Renewable award for college undergraduates to receive tuition exemption upon satisfactory performance in the Louisiana National Guard. Applicant must attend a state-funded institution in Louisiana, be a resident and registered voter in Louisiana, meet the academic and residency requirements of the university attended, and provide documentation of Louisiana National Guard enlistment. The exemption can be used for up to 15 semesters. Minimum 2.5 GPA required.",Louisiana National Guard State Tuition Exemption Program,The organization offers members in good standing the opportunity to attend state-funded universities to pursue an associate or an undergraduate degree.,"Louisiana National Guard, Joint Task Force LA"
151458,"One-time award for graduates of Canadian universities pursuing graduate study in any discipline in any country. Graduate study does not include first degrees in law, medicine, etc. Application must be submitted to faculty of graduate studies at the Canadian university from which the applicant most recently graduated. Applications should be made according to instructions on the Mackenzie King Scholarships website and using the form provided there.",Mackenzie King Open Scholarship,This organization is a private trust that awards scholarships.,MacKenzie King Scholarship Trust
151459,One-time award for graduates of Canadian universities who are pursuing graduate study in international or industrial relations in the U.S. or the U.K. Application must be submitted to faculty of graduate studies at the Canadian university from which the applicant most recently graduated. Applications should be made according to the instructions on the Mackenzie King Scholarship website and using the application form provided there. The number and the amount of awards are subject to change.,Mackenzie King Travelling Scholarship,This organization is a private trust that awards scholarships.,MacKenzie King Scholarship Trust
151460,One-time award for young scientists who have completed their postdoctoral training and have just begun independent research careers. Must hold a recent faculty appointment or the equivalent. Research must be relevant to the interest of the March of Dimes. Submit letter of intent. Application and information must be submitted via the foundation's online system. See website at http://www.marchofdimes.org for further information and deadlines.,Basil O'Connor Starter Scholar Research Awards,"A not-for-profit organization recognized as tax-exempt under Internal Revenue Code section 501(c)(3). To improve the health of babies by preventing birth defects, premature birth and infant mortality.",March of Dimes Foundation
151461,"Grants for qualified scientists with faculty appointments or the equivalent, at universities, hospitals, and research institutions, whose research is directed towards the prevention of birth defects or improving the outcome of pregnancy. Research subjects appropriate for support by the March of Dimes include basic biological processes governing development, genetics, clinical studies of reproductive health, environmental toxicology, and social and behavioral studies. Renewal grants are subject to submission of competitive renewal applications.",March of Dimes Research Grants,"A not-for-profit organization recognized as tax-exempt under Internal Revenue Code section 501(c)(3). To improve the health of babies by preventing birth defects, premature birth and infant mortality.",March of Dimes Foundation
151462,"Award for Marine tankers or former Marine tankers, or dependents of Marines who served in a tank unit and are on active duty, retired, reserve or have been honorably discharged. Applicant must be a high school graduate or planning to graduate in June. May be enrolled in college, undergraduate or graduate or have previously attended college. Must be a member of MCTA or intends to join in the future.","Marine Corps Tankers Association, John Cornelius/Max English Scholarship",A national organization of marines who have served in tanks in the USMC.,Marine Corps Tankers Association Inc.
151463,"Scholarship program is to help train qualified individuals for careers in Jewish scholarship and research, and to help Jewish educational, religious, and communal workers obtain advanced training for leadership positions. Any graduate student specializing in a Jewish field, who is officially enrolled or registered in a doctoral program at a recognized university is eligible to apply. Only applicants who have had their dissertation approved can apply.",International Doctoral Scholarships for Studies Specializing in Jewish Fields,The Memorial Foundation for Jewish Culture promotes Jewish peoplehood by supporting and developing the next generation of scholars and leaders in Jewish communities around the world.,Memorial Foundation for Jewish Culture
151467,"One scholarship for a male or female vocalist, awarded as competition prize and, to be used for any education-related expenses. Must submit 10 minute, high-quality audio tape of pieces selected for competition or those of similar style. Applicant is responsible for travel to and lodging during the competition. One-time award for high school seniors and college freshmen.",Ralph Brewster Vocal Scholarship,The organization preserves the memory and name of the big-band leader Glenn Miller. Attempts to find and assist potential music leaders of the future.,Glenn Miller Birthplace Society
151468,Grant for eligible survivors of Minnesota public safety officers killed in the line of duty. Safety officers who have been permanently or totally disabled in the line of duty are also eligible. Must be used at a Minnesota institution participating in State Grant Program. Write for details. Must submit proof of death or disability and Public Safety Officers Benefit Fund Certificate. Must apply for renewal each year. Five-year limit on awards.,Safety Officers' Survivor Grant Program,"A state agency responsible for administering state-funded college financial aid programs, licensing and registration of postsecondary schools, higher education data collection and analysis, and early intervention programs to help families prepare for college.",Minnesota Office of Higher Education
151470,"Renewable award for junior and senior undergraduates studying psychology or speech pathology, and graduate students studying physical therapy or occupational therapy. Must be Mississippi residents attending four-year colleges or universities in Mississippi. Must fulfill work obligation in Mississippi on the basis of one year's service for one year's loan received, or pay back as loan.",Mississippi Health Care Professions Loan/Scholarship Program,"The Mississippi Office of Student Financial Aid is the state agency that provides state-supported scholarships, loans and grants to assist Mississippi students who are seeking postsecondary education.",Mississippi Office of Student Financial Aid
151472,One-time award for graduate and postdoctoral students conducting research in field biology at Mountain Lake Biological Station.,Mountain Lake Biological Station Research Fellowship,The biological field station is a teaching facility located in the deciduous hardwood forest of the Appalachian Mountains of southwestern Virginia.,Mountain Lake Biological Station
151476,"One-time prize to recognize efforts to positively influence the public awareness of cardiopulmonary health and wellness. Nominees may include individuals, groups, or organizations. Write for details. Must submit a typed letter of 1000 words or less that answers questions as appropriate for the nominee. Submit curriculum vitae, if available.",Dr. Charles H. Hudson Award for Cardiopulmonary Public Health,"The foundation is dedicated to furthering the art, science, quality, and technology of respiratory care. It is a nonprofit organization involved in supporting research, education, and charitable pursuits.",American Respiratory Care Foundation
151477,"Award for full-time engineering undergraduate student in the U.S. or Canada. Must be active student member of the American Society of Agricultural Engineers. Must have a minimum of 3.0 GPA. Write for more information and special application procedures. One-time award of $1000. Must have completed one year of school, and must submit paper titled ""My Goals in the Engineering Profession"".",ASABE Foundation Scholarship,"The American Society of Agricultural and Biological Engineers is an international and scientific organization dedicated to the advancement of engineering applicable to biological, agricultural, and food systems. Founded in 1907 and headquartered in St Joseph, Michigan, ASABE comprises nearly 10,000 members representing more than 100 countries. Further information on ASABE can be obtained by contacting the Society at (269) 429-0300 or (269) 429-3852 (fax); hq@asabe.org. Details can also be found at http://www.asabe.org.",American Society of Agricultural and Biological Engineers
151478,Short-term fellowships which support one to two months of residence in the Society's library. These fellowships are available for scholars holding a PhD and for doctoral candidates engaged in dissertation research. See web site at http://www.americanantiquarian.org for further information.,AAS Short-term Fellowships,"An independent research library specializing in American history, literature, and culture through 1876.",American Antiquarian Society
151479,"Long-term, postdoctoral fellowships support four to twelve months of residence in the Society's library. These long-term awards are intended for scholars beyond the doctorate, for which senior and mid-career scholars are particularly encouraged to apply. See web site at http://www.americanantiquarian.org for further information.",AAS-National Endowment for the Humanities Fellowships,"An independent research library specializing in American history, literature, and culture through 1876.",American Antiquarian Society
151481,"Awards for Illinois residents attending an accredited two-or four-year junior college, college or university in Illinois. Must have completed 30 college credit hours and be pursuing a degree with an emphasis in real estate. Must be a U.S. citizen.",Illinois Real Estate Educational Foundation Academic Scholarships,A nonprofit foundation providing scholarship funds for Illinois residents pursuing careers in real estate and real estate-related fields.,Illinois Real Estate Educational Foundation
151485,"One-time cash award for current or retired union members in good standing, in unions affiliated with the AFL-CIO, their spouses, and dependent children. Based upon academic achievement, character, leadership, career goals, social awareness of the labor movement and financial need. Must be from Canada or U.S., including Puerto Rico and the Virgin Islands. Members must apply online at our web site: http://www.unionplus.org/scholarships.",Union Plus Education Foundation Scholarship Program,Seeks out and administers special low-cost consumer benefits for AFL-CIO union members. Committed to improving the quality of life of union families through our unique products and services.,Union Plus Scholarship Program
151486,Award for sons or daughters of members of unions affiliated with the Texas AFL-CIO and the appropriate Central Labor Council. Selection by interview/testing process. One-time awards of $1000. Applicant must be a graduating high school senior and Texas resident. Previous winners may apply for a limited number of continuing scholarships.,Texas AFL-CIO Scholarship Program,"Federation of labor unions that serves working people in Texas. The federation engages in legislative, political, educational and organizational activities.",Texas AFL-CIO
151506,"One-time award for senior investigators with an MD, PhD or an equivalent degree in medicine. U.S. citizenship is not required for applicants who desire training in institutions in the United States. However applicants who plan training in other countries must be U.S. citizens.",National Multiple Sclerosis Society Senior Faculty Awards,"The organization supports research to find solutions for people who have MS and provides accurate, up-to-date information to individuals with MS, their families, and healthcare providers.",National Multiple Sclerosis Society
151511,"Award given to graduate home economics students who are members of Kappa Omicron Nu. Candidate must demonstrate scholarship, research, and leadership potential. Cross-specialization and integrative research should be the research priority. Multiyear proposals are considered. Recipient must submit annual progress report. One-time award of $1000.",Kappa Omicron Nu National Alumni Chapter Grant,"Honor society serving the field of family, consumer and human sciences. It serves by providing grants, fellowships and sponsoring research conferences.",Kappa Omicron Nu Honor Society
151520,One-time scholarship for high school children of veterans who served in the Armed Forces during the eligibility dates for The American Legion. The applicant must complete 50 hours of community service during his/her high school years to be eligible for one of these scholarships.,American Legion Auxiliary Children of Warriors National Presidents' Scholarship,"In the spirit of Service, Not Self, the mission of the American Legion Auxiliary is to support The American Legion and to honor the sacrifice of those who serve by enhancing the lives of our veterans, military, and their families, both at home and abroad. For God and Country, we advocate for veterans, educate our citizens, mentor youth, and promote patriotism, good citizenship, peace and security.",American Legion Auxiliary National Headquarters
151523,Award for Vietnam veterans who have been New Mexico residents for a minimum of ten years and are attending state-funded postsecondary schools. Must have been awarded the Vietnam Campaign medal. Must submit DD 214 and discharge papers.,New Mexico Vietnam Veteran Scholarship,"The organization is assisting veterans, and surviving spouses and children of veterans, in establishing rights to which they are entitled.",New Mexico Department of Veterans' Services
151528,"Two-year scholarship of $3,000 per year for minority students entering their freshman year of college. Must plan to pursue careers in the atmospheric and related oceanic and hydrologic sciences. Must be U.S. citizen or permanent resident to apply.",American Meteorological Society Minority Scholarships,Nonprofit scientific society that serves the atmospheric and related oceanic and hydrologic sciences. It promotes the development and dissemination of information and education on the atmospheric and related oceanic and hydrologic sciences and the advancement of their professional applications.,American Meteorological Society
151532,"Nonrenewable scholarship for full-time study only. Must be a sophomore, junior, senior, graduate or postgraduate student. Application forms are available after January 1 of each year.",Anne A. Agnew Scholarship,"The association is a nonprofit, non-partisan organization established to advance the welfare of state employees and retirees and to promote efficiency in the administration of the business affairs and public services of state government. It is supported financially by the dues of those employees and retirees who choose to be members.",South Carolina State Employees Association
151533,"Award for college undergraduates and graduate students studying in California, Nevada or Hawaii and pursuing careers in broadcast journalism. Submit application, references, and examples of broadcast-related work.",Associated Press Television/Radio Association-Clete Roberts Journalism Scholarship Awards,"To serve as a liaison between representatives of the radio and television stations in California, Nevada and Hawaii that are members of the Associated Press and the management thereof, in attainment of those goals.",Associated Press
151534,Must be a respiratory therapist who has at least a baccalaureate degree with a minimum 3.0 GPA. Must be pursuing postgraduate education leading to an advanced degree.,"NBRC/AMP Garett B. Gish, MS, RRT Memorial Postgraduate Education Recognition Award","The foundation is dedicated to furthering the art, science, quality, and technology of respiratory care. It is a nonprofit organization involved in supporting research, education, and charitable pursuits.",American Respiratory Care Foundation
151537,"Fellowships carry a stipend of up to $5000, which may be awarded to a single individual or divided between two recipients. Successful candidates will develop at least a portion of their work from original research in archival materials from the collections of the John F. Kennedy Library and related materials.",Arthur M. Schlesinger Jr. Fellowship,"A nonprofit organization provides financial support to the John Fitzgerald Kennedy Library and Museum. Assists the library in its mission to advance the study and understanding of President Kennedy's life and career, the times in which he lived, promote a greater appreciation of America's political and cultural heritage, the process of governing and the importance of public service.",John F. Kennedy Library Foundation
151541,"Funding for ASCSA Summer Sessions participants only. Awards for graduate students, high school teachers, and college teachers. One award (Charles Edwards for $500) at undergraduate level used only for participation in the ASCSA Summer Sessions. Six-week sessions in Greece are conducted to become acquainted with Greece and its antiquities. Funding cannot be used for home institution in U.S.",ASCSA Summer Sessions Scholarships,"Founded in 1881, the ASCSA is the most significant resource in Athens, Greece for American scholars in the fields of ancient and post-classical studies in Greek language, literature, history, archaeology, philosophy, art, and anthropology from pre-Hellenic times to the present.",American School of Classical Studies at Athens
151544,"Scholarship for college music majors who are Rhode Island residents or attending college in Rhode Island. Must demonstrate good grades, financial need, and be an ABO member. Must include music sample.",Bach Organ and Keyboard Music Scholarship,"Foundation pursues its mission of connecting private philanthropy to the public guided by certain principles or core values. The principles that are followed serve both as a context and compass for all foundation objectives, initiatives, programs and services.",Rhode Island Foundation
151547,Award for full-time undergraduate students enrolled in a two-year degree program in surveying technology. For U.S. study only. Must be a member of the American Congress on Surveying and Mapping. See web site for application and more details http://www.acsm.net/scholar.html.,Berntsen International Scholarship in Surveying Technology,"A nonprofit educational organization whose goal is to advance the sciences of surveying and mapping and related fields, in furtherance of the welfare of those who use and make maps.",American Congress on Surveying and Mapping
151549,"One-time award of $300 given to an undergraduate member of Tau Kappa Epsilon with sophomore, junior, or senior standing. Must be pursuing a degree in political science or government and have a record of leadership within his fraternity and other campus organizations. Should have as a goal to serve in a political or government position. Recent head and shoulders photograph must be submitted with application. Minimum 3.0 GPA required. Preference will first be given to a member of Beta-Theta Chapter but, if there is no qualified applicant, the scholarship will be open to any other qualified Teke.",Bruce B. Melchert Scholarship,"The foundation works to strengthen brotherhood in Tau Kappa Epsilon by providing a tax-advantaged means to establish and support scholarships, support leadership development, enhance personal and social values.",TKE Educational Foundation
151552,One-time awards for New Jersey residents who are high school seniors pursuing studies in real estate or allied fields. Preference to students considering a career in real estate. Must be member of NJAR or relative of a member. Selected candidates are interviewed in June. Must be a U.S. citizen.,New Jersey Association of Realtors Educational Foundation Scholarship Program,A nonprofit organization serving the professional needs of its members who have pledged to observe and uphold the Realtor's Code of Ethics. The Code of Ethics sets the privileges and obligations of Realtors and Realtor's associates at the highest and best standards of personal and professional conduct in the practice of real estate.,New Jersey Association of Realtors
151553,One-time award for Alabama residents who are in the second year of studies at an American Bar Association law school. Must be a U.S. citizen. Maximum four awards are granted and the award values are in the range of $1000 to $5000.,"Cabaniss, Johnston Scholarship",A law-related charitable organization affiliated with the Alabama State Bar.,"Alabama Law Foundation, Inc."
151555,"One-time award for licensed marriage and family therapists pursuing advanced training in an accredited or approved degree program in marriage or family therapy. Membership in the California Association of Marriage and Family Therapists is encouraged and preference is given to its members. Must submit transcript, essay, and statement of financial need with application.",Clinton E. Phillips Scholarship,"An independent professional organization representing the interests of licensed marriage and family therapists. Dedicated to advance the profession as an art and a science, to maintain high standards of professional ethics, to uphold the qualifications for the profession, and to expand the recognition and awareness of the profession.",California Association of Marriage and Family Therapists Educational Foundation
151556,"Scholarship available to members of CAMFT who are pursuing a post-master's degree program; conducting a research project that will advance the profession of marriage and family therapy; or participating in advanced training, education or an unpaid internship within the field of marriage and family therapy.",California Association of Marriage and Family Therapists Educational Foundation Scholarship,"An independent professional organization representing the interests of licensed marriage and family therapists. Dedicated to advance the profession as an art and a science, to maintain high standards of professional ethics, to uphold the qualifications for the profession, and to expand the recognition and awareness of the profession.",California Association of Marriage and Family Therapists Educational Foundation
151557,"Provides financial assistance to a student from an underrepresented ethnic population for admission into an MA, MS, or PhD program which will qualify for licensure as a marriage and family therapist.",Ronald D. Lunceford Scholarship,"An independent professional organization representing the interests of licensed marriage and family therapists. Dedicated to advance the profession as an art and a science, to maintain high standards of professional ethics, to uphold the qualifications for the profession, and to expand the recognition and awareness of the profession.",California Association of Marriage and Family Therapists Educational Foundation
151558,"One-time award of $1000 to $2000 for employees or children or spouses of employees working for a company or labor union in the construction industry that is affiliated with Project BEST. Must be residents of West Virginia, Pennsylvania, or Ohio and attend a West Virginia or Ohio postsecondary institution. Must be U.S. citizens.",Project BEST Scholarship,"A construction industry labor-management cooperative committee that operates as an industry team, rather than as individual segments in dealing with construction-related matters.",Project BEST Scholarship Fund
151559,"One-time award of $400 given to a full-time undergraduate member of Tau Kappa Epsilon, who is earning a degree in education or science and has plans to become a teacher or pursue a profession in science. Applicant should have a demonstrated record of leadership within his chapter, on campus and in the community. Minimum 3.0 GPA required.",Carrol C. Hall Memorial Scholarship,"The foundation works to strengthen brotherhood in Tau Kappa Epsilon by providing a tax-advantaged means to establish and support scholarships, support leadership development, enhance personal and social values.",TKE Educational Foundation
151563,"Renewable award for college undergraduates at junior or senior level pursuing television, film, or communication studies to further their education. Must attend a four-year undergraduate institution. Minimum 3.0 GPA required to renew scholarship. Must have completed at least two years of study and be currently enrolled in a U.S. college or university. Application may be downloaded on web site.",Charles and Lucille King Family Foundation Scholarships,Established to support outstanding undergraduate and graduate academic achievement in television and film production through grants and scholarships.,"Charles and Lucille King Family Foundation, Inc."
151564,"Eight scholarships of $250 to $600 for Missouri students and/or teachers whose studies or projects are related to natural science, resource conservation, earth resources, or environmental protection. Must be used for study in Missouri. See application for eligibility details.",Charles P. Bell Conservation Scholarship,"A statewide organization devoted to ensuring conservation of Missouri's wildlife and natural resources, and preservation of our state's rich outdoor heritage through advocacy, education and partnerships.",Conservation Federation of Missouri
151574,Scholarships for non-residents or non-citizens of the United States to encourage out-of-state students who have demonstrated high academic achievement in high school to enroll in public four-year universities in New Mexico. Renewable for up to four years. For details visit http://fin.hed.state.nm.us.,New Mexico Competitive Scholarship,The organization promotes and coordinates high quality postsecondary education partnerships that are responsive to changing needs and serve all New Mexicans.,New Mexico Commission on Higher Education
151583,"Awards graduate members of Phi Alpha Theta History Honor Society to complete research leading to a PhD in history. Must include transcript, references, resume writing sample, and dissertation prospectus with application.",Phi Alpha Theta Doctoral Scholarships,"A professional society whose mission is to promote the study of history through research, teaching, and the exchange of ideas among historians.","Phi Alpha Theta History Honor Society, Inc."
151588,"Annual award for the best essay in American history by a graduate student at any level in any field. Essays should not exceed 10,000 words and the winning entry will be published in the Journal of American History. Please submit hard copy of the essay; the author's name and graduate program should appear only on a separate cover page. For more information see Web site, http://www.oah.org/programs/awards/louis-pelzer-memorial-award/.",Louis Pelzer Memorial Award,Professional organization dedicated to the promotion of teaching and scholarship about the history of the United States.,Organization of American Historians
151591,"Award intended for doctoral candidates in final year of dissertation research on issues related to the environment, natural resources, or energy. Students whose research emphasizes policy aspects of environmental issues are encouraged to apply. Proof of PhD status, curriculum vitae, proposal, and technical summary are required.",Joseph L. Fisher Dissertation Awards,"Nonprofit, non-partisan research and educational organization specializing in research and policy analysis in environmental, natural resource, and energy issues.",Resources for the Future
151592,"Two postdoctoral fellowships for social or natural scientists with PhD. Must devote a year to scholarly work in areas related to natural resources, energy, or the environment. Teaching and/or research experience at postdoctoral level preferred though not essential. May hold position in government as well as at academic institutions. Must submit resume, budget, and proposal.",Gilbert F. White Postdoctoral Fellowships,"Nonprofit, non-partisan research and educational organization specializing in research and policy analysis in environmental, natural resource, and energy issues.",Resources for the Future
151594,"Scholarship of $1000 available to high school seniors and college students who plan to or are attending an avionics or aircraft repair program in an accredited school. Restricted to use for study in the following states: Iowa, Illinois, Indiana, Kansas, Michigan, Minnesota, Mississippi, North Dakota, Nebraska, South Dakota, and Wisconsin. Minimum 2.5 GPA required.",David Arver Memorial Scholarship,Foundation awards scholarships to students pursuing a career in the general aviation aircraft maintenance/avionics industry.,Aircraft Electronics Association Educational Foundation
151597,"One-time award for post-doctoral candidates to write or conduct research for dissertation at the American Jewish Archives. Submit curriculum vitae, proposal, recommendation, and evidence of published research. Dissertation must be regarding the historical or sociological aspects of the American Jewish experience.",American Jewish Archives Dissertation and Postdoctoral Research Fellowships,"An organization committed to preserving a documentary heritage of the religious, organizational, economic, cultural, personal, social and family life of American Jewry.",Jacob Rader Marcus Center of the American Jewish Archives
151602,"One-time award is available for U.S. students to study in Scotland or students from Scotland to study in the United States. Special attention will be given to applicants whose work would demonstrably contribute to enhanced knowledge of Scottish history or culture. Must be a college junior, senior, or graduate student to apply. Need for financial assistance and academic record considered. Visit web site for details and application http://www.thecapitalscot.com/standrew/scholarships.html.",Donald Malcolm MacArthur Scholarship,"The St. Andrew's Society of Washington, DC, with origins in colonial Alexandria and Georgetown, is a charitable and social organization of men of Scottish birth or ancestry. Its objectives are to afford charitable and educational assistance to Scotsmen, lineal descendants of Scotsmen, and to their widows and orphans, and to perpetuate Scottish traditions and culture. The Society maintains permanent trust funds for its charitable and educational purposes.","St. Andrew's Society of Washington, DC"
151604,"One-time award for a first time graduate student member of Phi Alpha Theta History Honor Society, who is studying in a master's program in history. Must include transcript and references with application. A curriculum vitae and GRE scores are also required. Must rank in upper third of class or have minimum 3.0 GPA.",Phi Alpha Theta Graduate Scholarships,"A professional society whose mission is to promote the study of history through research, teaching, and the exchange of ideas among historians.","Phi Alpha Theta History Honor Society, Inc."
151609,Faculty research fellowships help support research by Indian scholars who are committed to the promotion of Canadian studies at their own institution in India. Recipients must contribute to the pedagogical material on Canada in India through scholarly publications. One-time award for four to five weeks of study.,Shastri Canadian Studies Faculty Research Fellowships for Indian Scholars,"The organization promotes understanding between India and Canada, mainly through facilitating academic activities such as research, seminars, and conferences.",Shastri Indo-Canadian Institute
151610,Art fellowships available for visual and performing artists who can justify the need for further training in India. Applicants must plan to spend a minimum of four months and maximum of twelve months in India. One-time grants of varying amounts. Must be Canadian citizen or permanent resident and at least 18 years old.,Shastri India Studies Arts Fellowships,"The organization promotes understanding between India and Canada, mainly through facilitating academic activities such as research, seminars, and conferences.",Shastri Indo-Canadian Institute
151611,"Fellowships for pursuit of India studies available to Canadian scholars with full- or part-time appointments at a Canadian institution of higher education. Scholars may apply for research or training fellowships in India. One-time grants of varying amounts. Approximately Rupees 20,000 per month during fellowship.",Shastri India Studies Faculty Fellowships,"The organization promotes understanding between India and Canada, mainly through facilitating academic activities such as research, seminars, and conferences.",Shastri Indo-Canadian Institute
151612,"Research fellowships open to scholars who have completed a PhD and wish to do research in India. Applicants need not have an academic position, but awards will not be made after five years beyond the receipt of the doctorate. Recipients will spend a minimum of three months and a maximum of twelve months in India. Must be Canadian citizens or permanent residents. Fellowship provides a monthly living allowance of Rupees 16,000 and a monthly research stipend of Rupees 4000.",Shastri India Studies Postdoctoral Research Fellowships,"The organization promotes understanding between India and Canada, mainly through facilitating academic activities such as research, seminars, and conferences.",Shastri Indo-Canadian Institute
151613,"Fellowships available to students specializing in India who are at thesis level in a graduate degree program. Students may apply for research, language training, or degree fellowships to be undertaken in India. Several one-time awards of approximately Rupees 20,000 per month for a maximum of one year of study. Must be Canadian citizens or permanent residents.",Shastri India Studies Student Fellowships,"The organization promotes understanding between India and Canada, mainly through facilitating academic activities such as research, seminars, and conferences.",Shastri Indo-Canadian Institute
151616,"One time award for full-time study only. Essay, transcripts, letters of recommendation from principal/teacher, financial need form, photo, civic and church activities information required. Open to high school seniors. One graduate school scholarship of $2,000 available to student majoring in education. Membership in Slovenian Women's Union not required. Applicant must be of Slovenian ancestry. One Graduate school scholarship of $2,000 available to student majoring in science, mathematics, or engineering. Membership in Slovenian Women' s Union not required. Applicant must be of Slovenian ancestry.",Slovenian Women's Union of America Scholarship Foundation,An organized union to promote Slovene culture and higher education through scholarships.,Slovenian Women's Union Scholarship Foundation
151620,"Renewable awards for college juniors, seniors, and graduate students for in-state tuition, fees, room and board, and a book allowance at a Kentucky public university. Minimum 3.0 GPA required. Must work full-time for the Kentucky Department for Environmental Protection upon graduation (six months for each semester of scholarship support received). Interview required. Program not generally appropriate for non-residents.",Environmental Protection Scholarship,State regulatory agency with emphasis on environmental protection.,Kentucky Energy and Environment Cabinet
